id,name_clean,name_first_last,EMIC_freq,EMIC_years,IWYMIC_freq,IWYMIC_years,APMO_freq,APMO_years,IMO_freq,IMO_years
2561,Farahnoz Normurodzoda,"Normurodzoda, Farahnoz",0,,1,2021,1,2022,0,
2562,Daler Pirov,"Pirov, Daler",0,,1,2016,0,,0,
2563,Vazirdzhon Pirov,"Pirov, Vazirdzhon",0,,1,2018,2,2020;2021,3,2019;2020;2021
2564,Muhammad Qodirov,"Qodirov, Muhammad",0,,1,2022,0,,0,
2565,Voris Rahimov,"Rahimov, Voris",2,2017;2018,0,,0,,0,
2566,Sunatullo Rakhmatov,"Rakhmatov, Sunatullo",0,,1,2017,3,2016;2017;2018,2,2017;2018
2567,Alisher Rogov,"Rogov, Alisher",0,,1,2016,1,2016,0,
2568,Jamshed Rustamov,"Rustamov, Jamshed",1,2017,1,2018,3,2019;2020;2021,3,2019;2020;2021
2569,Rakhmondzhon Sabirov,"Sabirov, Rakhmondzhon",0,,1,2018,0,,0,
2570,Sunat Saidov,"Saidov, Sunat",2,2017;2018,0,,0,,0,
2571,Muhammadidris Saymuhudinzoda,"Saymuhudinzoda, Muhammadidris",1,2022,1,2023,3,2024;2025;2026,1,2026
2572,Sino Sharifov,"Sharifov, Sino",1,2019,0,,0,,0,
2573,Amir Sharopov,"Sharopov, Amir",1,2023,0,,0,,0,
2574,Sino Sharopov,"Sharopov, Sino",1,2023,0,,2,2024;2025,1,2025
2575,Muhammadrasul Shernazarov,"Shernazarov, Muhammadrasul",1,2022,1,2023,2,2023;2024,0,
2576,Samandar Temirov,"Temirov, Samandar",0,,1,2016,0,,0,
2577,Olimdzhon Tukhtarov,"Tukhtarov, Olimdzhon",2,2021;2022,1,2023,3,2023;2025;2026,4,2023;2024;2025;2026
2578,Dzhakhongir Urakov,"Urakov, Dzhakhongir",0,,2,2017;2018,1,2018,1,2019
2579,Abubakr Usmanov,"Usmanov, Abubakr",0,,1,2017,1,2017,3,2016;2017;2018
2580,Timur Usmonov,"Usmonov, Timur",1,2018,1,2021,3,2021;2022;2023,2,2021;2022
2581,Mehrubon Yusupov,"Yusupov, Mehrubon",1,2023,0,,2,2024;2026,2,2025;2026
2582,Abdurasul Ziyoratshokhi,"Ziyoratshokhi, Abdurasul",2,2017;2018,0,,0,,0,
